@relation IdentifyKey

@attribute title string
@attribute C numeric
@attribute C# numeric
@attribute D numeric
@attribute D# numeric
@attribute E numeric
@attribute F numeric
@attribute F# numeric
@attribute G numeric
@attribute G# numeric
@attribute A numeric
@attribute A# numeric
@attribute B numeric
@attribute key {C,c,C#,c#,D,d,D#,d#,E,e,F,f,F#,f#,G,g,G#,g#,A,a,A#,a#,B,b}

@data
'3 Mazurkas, op. 50, i. G major',0.731006,0.376218,0.936294,0.259271,0.362464,0.252351,0.723798,1,0.334346,0.671095,0.332422,0.68142,G
'3 Mazurkas, op. 50, ii. A flat major',1,0.681855,0.334659,0.509728,0.266356,0.585146,0.427025,0.618956,0.627604,0.318524,0.683191,0.217266,G#
'3 Mazurkas, op. 50, iii. C sharp minor',0.539742,1,0.21153,0.650724,0.413493,0.232645,0.763262,0.472013,0.976633,0.61232,0.458883,0.414612,c#
'3 Mazurkas, op. 56, i. B major',0.284004,0.606367,0.403138,0.733279,0.656314,0.259062,1,0.387926,0.821419,0.387285,0.443942,0.741923,B
'3 Mazurkas, op. 56, ii. C major',1,0.269972,0.71759,0.256745,0.778762,0.30355,0.473372,0.858648,0.382906,0.78313,0.152986,0.690022,C
'3 Mazurkas, op. 56, iii. C minor',1,0.36804,0.675962,0.614224,0.329937,0.776222,0.303682,0.684596,0.447067,0.537758,0.49972,0.351955,c
'3 Mazurkas, op. 59, i. A minor',0.529571,0.551253,0.621809,0.393991,0.510924,0.368503,0.910065,0.479762,0.465993,0.65004,0.359154,1,a
'3 Mazurkas, op. 59, ii. A flat major',1,0.512155,0.330083,0.46209,0.163919,0.383283,0.201948,0.411803,0.467595,0.191825,0.302284,0.216855,G#
'3 Mazurkas, op. 59, iii. F sharp minor',0.379155,1,0.431973,0.347234,0.197522,0.379631,0.779,0.185226,0.464185,0.402249,0.32689,0.585746,f#
'3 Mazurkas, op. 63, i. B major',0.248642,0.793642,0.523135,0.57952,0.317253,0.466815,1,0.203354,0.602151,0.277654,0.443575,0.839699,B
'3 Mazurkas, op. 63, ii. F minor',1,0.559817,0.423322,0.626957,0.177636,0.642862,0.186259,0.652388,0.458771,0.267134,0.55057,0.272442,f
'3 Mazurkas, op. 63, iii. C sharp minor',0.462391,1,0.29511,0.601719,0.407061,0.365946,0.6828,0.447036,0.893413,0.495895,0.40579,0.583721,c#
'4 Mazurkas, op. 67, i. G major',0.455944,0.343595,1,0.116212,0.311998,0.266093,0.409635,0.788832,0.18381,0.415007,0.131373,0.646078,G
'4 Mazurkas, op. 67, ii. G minor',0.700312,0.197386,1,0.437045,0.144352,0.430696,0.225891,0.5394,0.112655,0.432284,0.45476,0.158187,g
'4 Mazurkas, op. 67, iii. C major',0.664963,0.467551,1,0.114089,0.498761,0.424492,0.211314,0.532737,0.181435,0.339456,0.092517,0.296189,C
'4 Mazurkas, op. 67, iv. A minor',1,0.48493,0.80706,0.327217,0.81223,0.406361,0.529626,0.33567,0.568111,0.775354,0.148981,0.807146,a
'4 Mazurkas, op. 68, i. C major',0.797272,0.213907,1,0.127429,0.611933,0.288818,0.385514,0.949028,0.201658,0.69748,0.218989,0.497639,C
'4 Mazurkas, op. 68, ii. A minor',0.659032,0.611812,0.284224,0.361859,1,0.225591,0.390821,0.390166,0.261103,0.621525,0.094907,0.35716,a
'4 Mazurkas, op. 68, iii. F major',0.632665,0.329343,0.700953,0.131378,0.591909,0.61896,0.205426,0.36471,0.190587,1,0.518727,0.218016,F
'4 Mazurkas, op. 68, iv. F minor',1,0.498966,0.615698,0.357556,0.294438,0.549701,0.318922,0.523623,0.432242,0.312948,0.347687,0.606851,f
'Mazurka in A minor (\'à Émile Gaillard\', 1840)',1,0.60952,0.912814,0.441174,0.634916,0.407661,0.760078,0.581583,0.574305,0.930747,0.206652,0.768365,a
'Mazurka in A minor (\'Notre temps\', 1840)',0.772484,0.351185,0.609247,0.401699,1,0.199049,0.806338,0.558827,0.343047,0.805515,0.199978,0.822978,a
'Mazurka in B flat major (1826)',0.586335,0.222462,0.639388,0.4068,0.277344,1,0.197075,0.445733,0.172481,0.540762,0.528969,0.317521,A#
'Mazurka in G major (1826)',0.443206,0.379865,0.64679,0.315996,0.703896,0.235118,0.917103,0.73181,0.177484,0.575515,0.246879,1,G
'Mazurka in A flat major (1834)',1,0.801913,0.52011,0.6139,0.13447,0.612972,0.185909,0.448605,0.780725,0.274091,0.457349,0.203918,G#
'Mazurka in C major (1833)',0.793766,0.238711,1,0.153239,0.406366,0.241655,0.480179,0.586267,0.196441,0.557939,0.211165,0.503029,C
'Mazurka in B flat major (for Alexandra Wolowska, 1832)',0.73833,0.115113,1,0.241331,0.123719,0.684148,0.150324,0.334292,0.150137,0.353953,0.707684,0.206207,A#
'Mazurka in D major (1832)',0.283201,0.804979,0.765993,0.448175,0.972752,0.147756,0.868673,0.557364,0.378387,1,0.306194,0.771396,D
'Mazurka in D major (?1820)',0.335721,0.586721,0.590503,0.345716,0.852292,0.133373,0.454225,0.572853,0.329508,1,0.18408,0.57272,D
'Mazurka in F minor, op. 68, no. 4',1,0.728857,0.714327,0.429956,0.443762,0.664856,0.459826,0.654256,0.697555,0.453229,0.597247,0.66127,f
'Piano Sonata No. 2 in B flat minor, op. 35, i. Grave - Doppio movimento',0.802812,1,0.610281,0.79583,0.365909,0.844373,0.769009,0.732272,0.671174,0.569214,0.753408,0.317165,a#
'Piano Sonata No. 2 in B flat minor, op. 35, ii. Scherzo',0.463157,0.964994,0.466747,0.674238,0.354558,0.510968,1,0.359104,0.765591,0.373202,0.651168,0.567084,a#
'Piano Sonata No. 2 in B flat minor, op. 35, iii. Marche funèbre',0.668712,1,0.196619,0.384163,0.15562,0.788654,0.590927,0.278936,0.61026,0.242645,0.81378,0.110348,a#
'Piano Sonata No. 2 in B flat minor, op. 35, iv. Finale: Presto',0.802452,1,0.553247,0.824698,0.413558,0.832173,0.798921,0.732337,0.792656,0.624197,0.926776,0.363782,a#
'Piano Sonata No. 3 in B minor, op. 58, i. Allegro maestoso',0.491297,0.784556,0.561548,0.472252,0.587239,0.499702,1,0.743232,0.632302,0.558975,0.628992,0.616601,b
'Piano Sonata No. 3 in B minor, op. 58, ii. Scherzo: Molto vivace',0.74348,0.528994,0.523118,0.956795,0.607903,0.67702,0.584353,1,0.759818,0.617415,0.925111,0.68797,b
'Piano Sonata No. 3 in B minor, op. 58, iii. Largo',0.526305,0.773585,0.309921,0.637543,0.626717,0.315118,1,0.512616,0.877153,0.3617,0.525714,0.699492,b
'Piano Sonata No. 3 in B minor, op. 58, iv. Finale: Presto, non tanto',0.469437,0.661496,0.572998,0.458128,0.459087,0.392454,1,0.807329,0.519845,0.412242,0.546602,0.579346,b
'Fantaisie in F minor, op. 49',0.849936,0.627569,0.543236,0.83757,0.365284,0.649152,0.660976,0.911063,1,0.411041,0.759423,0.42866,f
'Piano Sonata No. 1 in C minor, op. 4, i. Allegro maestoso',0.93661,0.559433,0.63624,0.590336,0.316473,0.460392,0.651512,1,0.440496,0.478928,0.445184,0.389091,c
'Piano Sonata No. 1 in C minor, op. 4, ii. Minuetto - Trio',0.588904,0.364807,0.710968,0.784779,0.260768,0.449993,0.728696,1,0.495026,0.493628,0.793685,0.393832,c
'Piano Sonata No. 1 in C minor, op. 4, iii. Larghetto',0.715213,0.518763,0.330112,1,0.148039,0.382732,0.26617,0.701853,0.596692,0.175842,0.634672,0.210059,c
